dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.093773,24.412611,3.101621,7.636876,0.360706,-0.009779,0.116132
0.010000,3.169654,24.421547,3.178025,7.640481,0.360581,-0.012466,0.118310
0.010000,3.245551,24.430651,3.254466,7.644086,0.360431,-0.014985,0.120456
0.010000,3.321464,24.439921,3.330943,7.647688,0.360257,-0.017391,0.122571
0.010000,3.397393,24.449356,3.407456,7.651289,0.360060,-0.019721,0.124654
0.010000,3.473338,24.458951,3.484005,7.654887,0.359842,-0.021862,0.126706
0.010000,3.549299,24.468706,3.560590,7.658483,0.359602,-0.023950,0.128727
0.010000,3.625276,24.478618,3.637211,7.662077,0.359343,-0.025915,0.130716
0.010000,3.701269,24.488684,3.713867,7.665667,0.359066,-0.027717,0.132673
0.010000,3.777277,24.498903,3.790560,7.669255,0.358771,-0.029476,0.134600
0.010000,3.853302,24.509271,3.867288,7.672840,0.358460,-0.031107,0.136495
0.010000,3.929342,24.519788,3.944052,7.676421,0.358134,-0.032618,0.138359
0.010000,4.005399,24.530450,4.020852,7.679999,0.357794,-0.034024,0.140192
0.010000,4.081471,24.541255,4.097688,7.683573,0.357440,-0.035350,0.141993
0.010000,4.157559,24.552201,4.174560,7.687144,0.357074,-0.036566,0.143764
0.010000,4.233663,24.563286,4.251467,7.690711,0.356698,-0.037685,0.145503
0.010000,4.309783,24.574507,4.328409,7.694274,0.356310,-0.038718,0.147211
0.010000,4.385919,24.585862,4.405388,7.697833,0.355914,-0.039648,0.148888
0.010000,4.462072,24.597349,4.482402,7.701389,0.355509,-0.040471,0.150534
0.010000,4.538240,24.608966,4.559451,7.704939,0.355097,-0.041233,0.152149
0.010000,4.614425,24.620710,4.636536,7.708486,0.354678,-0.041923,0.153733
0.010000,4.690627,24.632578,4.713656,7.712029,0.354253,-0.042476,0.155287
0.010000,4.766845,24.644570,4.790812,7.715567,0.353823,-0.042972,0.156809
0.010000,4.843080,24.656682,4.868003,7.719101,0.353389,-0.043430,0.158300
0.010000,4.919332,24.668911,4.945229,7.722630,0.352952,-0.043714,0.159761
0.010000,4.995601,24.681257,5.022491,7.726156,0.352511,-0.044021,0.161191
0.010000,5.071887,24.693716,5.099788,7.729676,0.352070,-0.044197,0.162590
0.010000,5.148190,24.706287,5.177119,7.733192,0.351627,-0.044293,0.163959
0.010000,5.224511,24.718966,5.254486,7.736704,0.351183,-0.044361,0.165297
0.010000,5.300850,24.731753,5.331889,7.740212,0.350739,-0.044353,0.166604
0.010000,5.377206,24.744643,5.409326,7.743715,0.350297,-0.044220,0.167880
0.010000,5.453581,24.757636,5.486798,7.747213,0.349856,-0.044088,0.169127
0.010000,5.529974,24.770729,5.564305,7.750707,0.349418,-0.043869,0.170342
0.010000,5.606386,24.783919,5.641847,7.754197,0.348982,-0.043588,0.171527
0.010000,5.682817,24.797205,5.719424,7.757683,0.348549,-0.043249,0.172682
0.010000,5.759267,24.810584,5.797035,7.761164,0.348121,-0.042851,0.173807
0.010000,5.835736,24.824053,5.874682,7.764641,0.347697,-0.042398,0.174901
