dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.278419,22.127034,3.286336,8.146728,-0.360794,-30.199459,0.113923
0.010000,3.359312,22.136380,3.367767,8.143121,-0.360696,0.009792,0.116132
0.010000,3.440149,22.145900,3.449162,8.139515,-0.360572,0.012421,0.118310
0.010000,3.520929,22.155590,3.530521,8.135911,-0.360422,0.014977,0.120456
0.010000,3.601652,22.165448,3.611844,8.132309,-0.360248,0.017403,0.122571
0.010000,3.682319,22.175471,3.693131,8.128708,-0.360052,0.019665,0.124654
0.010000,3.762929,22.185656,3.774382,8.125110,-0.359833,0.021887,0.126706
0.010000,3.843483,22.196000,3.855598,8.121514,-0.359594,0.023928,0.128727
0.010000,3.923980,22.206501,3.936777,8.117921,-0.359335,0.025868,0.130716
0.010000,4.004421,22.217157,4.017920,8.114330,-0.359057,0.027750,0.132673
0.010000,4.084805,22.227964,4.099028,8.110742,-0.358763,0.029453,0.134600
0.010000,4.165133,22.238919,4.180099,8.107158,-0.358452,0.031072,0.136495
0.010000,4.245405,22.250021,4.261135,8.103577,-0.358126,0.032602,0.138359
0.010000,4.325620,22.261266,4.342135,8.099999,-0.357786,0.034030,0.140192
0.010000,4.405780,22.272652,4.423099,8.096424,-0.357433,0.035335,0.141993
0.010000,4.485884,22.284176,4.504028,8.092854,-0.357067,0.036552,0.143764
0.010000,4.565932,22.295835,4.584921,8.089287,-0.356690,0.037673,0.145503
0.010000,4.645925,22.307627,4.665778,8.085724,-0.356303,0.038691,0.147211
0.010000,4.725862,22.319549,4.746599,8.082165,-0.355907,0.039625,0.148888
0.010000,4.805745,22.331599,4.827386,8.078610,-0.355502,0.040485,0.150534
0.010000,4.885572,22.343774,4.908136,8.075059,-0.355090,0.041229,0.152149
0.010000,4.965345,22.356070,4.988851,8.071512,-0.354671,0.041870,0.153733
0.010000,5.045064,22.368487,5.069531,8.067970,-0.354246,0.042481,0.155287
0.010000,5.124728,22.381020,5.150175,8.064431,-0.353817,0.042984,0.156809
0.010000,5.204339,22.393668,5.230784,8.060898,-0.353383,0.043360,0.158300
0.010000,5.283896,22.406428,5.311358,8.057368,-0.352945,0.043759,0.159761
